id,name,gender,all_time_final_score
2231,Samuel L. Jackson,2,457.3431167
31,Tom Hanks,2,392.2690386
18277,Stellan Skarsgård,1,390.5348017
85,Johnny Depp,2,390.5018982
380,Robert De Niro,2,387.9057361
3895,Michael Caine,2,374.4041514
6384,Keanu Reeves,2,367.5102368
62,Bruce Willis,2,365.4230824
3223,Robert Downey Jr.,2,349.8669678
65717,Jon Hamm,2,346.2606963
192,Morgan Freeman,2,339.4367479
287,Brad Pitt,2,327.7081315
10990,Emma Watson,1,321.4423842
8691,Zoe Saldana,1,317.7054808
2232,Michael Keaton,2,312.8876299
57755,Woody Harrelson,2,312.2772156
3,Harrison Ford,2,297.6883435
118,Geoffrey Rush,2,296.0345224
3894,Christian Bale,2,289.0246612
64,Gary Oldman,2,286.8029562
3896,Liam Neeson,2,283.1876765
1245,Scarlett Johansson,1,283.0527941
3061,Ewan McGregor,2,281.1123102
10205,Sigourney Weaver,1,280.7026353
880,Ben Affleck,2,278.7561191
1892,Matt Damon,2,274.1200484
5293,Willem Dafoe,2,267.6248649
16828,Chris Evans,2,265.0166456
1979,Kevin Spacey,2,264.2391081
18897,Jackie Chan,2,260.9832526
8891,John Travolta,2,258.6168869
500,Tom Cruise,2,258.4844785
1158,Al Pacino,2,258.2571763
2963,Nicolas Cage,2,255.1443568
10859,Ryan Reynolds,2,249.9607917
73457,Chris Pratt,2,246.0075771
62064,Chris Pine,2,245.2307191
32,Robin Wright,1,242.6772488
1333,Andy Serkis,2,238.9205508
2157,Robin Williams,2,237.001461
16483,Sylvester Stallone,2,235.6587666
19,Allison Janney,1,234.7095923
1230,John Goodman,2,228.9424973
4495,Steve Carell,2,226.4630262
190,Clint Eastwood,2,224.2932101
2282,Ben Kingsley,2,221.4481023
11207,David Thewlis,2,220.9855428
12835,Vin Diesel,2,220.8091006
6193,Leonardo DiCaprio,2,217.5310731
1327,Ian McKellen,2,215.7158581
51329,Bradley Cooper,2,214.9718121
2283,Stanley Tucci,2,212.4888416
8945,Kevin Kline,2,212.2688433
4581,Steve Coogan,2,212.2010226
4483,Dustin Hoffman,2,210.6848356
13240,Mark Wahlberg,2,210.0337514
90633,Gal Gadot,1,209.5637294
55636,Donald Sutherland,2,208.7305154
1231,Julianne Moore,1,206.7933585
5292,Denzel Washington,2,205.8405299
514,Jack Nicholson,2,205.4927248
51990,T.J. Miller,2,204.6155025
134,Jamie Foxx,2,202.8538054
4173,Anthony Hopkins,2,201.68284
1037,Harvey Keitel,2,199.9444531
1229,Jeff Bridges,2,199.4865855
6856,Kurt Russell,2,198.5206183
2461,Mel Gibson,2,196.7919333
4690,Christopher Walken,2,196.5345504
5469,Ralph Fiennes,2,195.1892996
193,Gene Hackman,2,195.1496425
103,Mark Ruffalo,2,193.4991852
65731,Sam Worthington,2,191.9019273
738,Sean Connery,2,191.6268513
72129,Jennifer Lawrence,1,191.4914411
5064,Meryl Streep,1,191.3257384
10980,Daniel Radcliffe,2,190.4819618
3087,Robert Duvall,2,190.0850648
17051,James Franco,2,189.6935581
2227,Nicole Kidman,1,188.8126112
3036,John Cusack,2,186.9739014
17604,Jeremy Renner,2,186.7133434
5723,John Leguizamo,2,185.6753894
1269,Kevin Costner,2,184.8211766
2975,Laurence Fishburne,2,184.2599411
884,Steve Buscemi,2,183.8095425
18999,J.K. Simmons,2,182.079978
1233,Philip Seymour Hoffman,2,181.8719415
569,Ethan Hawke,2,177.6881793
116,Keira Knightley,1,177.1299503
1283,Helena Bonham Carter,1,176.4801541
7447,Alec Baldwin,2,176.2908723
112,Cate Blanchett,1,176.0636639
1159982,Ansel Elgort,2,175.8042905
3131,Antonio Banderas,2,175.6518961
7056,Emma Thompson,1,175.4204128
66580,Scott Adsit,2,174.7449237
17288,Michael Fassbender,2,174.4389336
819,Edward Norton,2,174.2546095
139,Uma Thurman,1,173.7098513
109,Elijah Wood,2,173.6355127
10182,Ving Rhames,2,172.9767033
4038,Susan Sarandon,1,172.5854888
1532,Bill Murray,2,171.3237936
6413,Danny Huston,2,171.1758392
1100,Arnold Schwarzenegger,2,170.9108734
5049,John Hurt,2,170.862567
1461,George Clooney,2,170.455759
4135,Robert Redford,2,169.7176035
114,Orlando Bloom,2,169.5098892
7399,Ben Stiller,2,169.0418763
6968,Hugh Jackman,2,168.9951715
10297,Matthew McConaughey,2,168.8183207
131,Jake Gyllenhaal,2,168.5848812
4165,John Wayne,2,168.0498523
228,Ed Harris,2,167.4435658
72466,Colin Farrell,2,165.5453291
1243,Woody Allen,2,165.5103959
2039,Brendan Gleeson,2,165.2531881
221018,Dan Stevens,2,164.6752898
3489,Naomi Watts,1,164.6150676
1640,Stellan Skarsgård,2,162.9372243
1248,Brian Cox,2,162.866097
2176,Tommy Lee Jones,2,161.7619099
113,Christopher Lee,2,160.8488365
2888,Will Smith,2,160.2473466
524,Natalie Portman,1,160.2192394
9642,Jude Law,2,159.8586398
1204,Julia Roberts,1,159.6869906
976,Jason Statham,2,158.9936814
854,James Stewart,2,157.7873803
6065,Dennis Quaid,2,157.5562572
2178,Forest Whitaker,2,157.2967474
1896,Don Cheadle,2,156.7852707
6949,John Malkovich,2,155.3049015
6885,Charlize Theron,1,155.2347279
2228,Sean Penn,2,154.397705
2505,James Cromwell,2,154.2612346
114019,Luke Evans,2,153.6554385
27972,Josh Hutcherson,2,152.2359756
3392,Michael Douglas,2,151.697645
934,Russell Crowe,2,151.6586227
10882,Rosamund Pike,1,151.2791185
227,William Hurt,2,151.0203739
206,Jim Carrey,2,150.6491349
290,Christopher Plummer,2,150.6384068
204,Kate Winslet,1,150.6244842
13242,Paul Giamatti,2,150.496518
6383,Aaron Eckhart,2,148.9743462
15735,Helen Mirren,1,148.913075
74568,Chris Hemsworth,2,148.1897268
15831,Frank Welker,2,148.1462388
37917,Kristen Stewart,1,147.6848867
5576,Val Kilmer,2,147.6155689
4566,Alan Rickman,2,147.5951031
887,Owen Wilson,2,147.5468908
4724,Kevin Bacon,2,147.503849
11701,Angelina Jolie,1,147.3269308
3636,Paul Newman,2,146.6140958
12052,Gwyneth Paltrow,1,144.8633022
935,Connie Nielsen,1,144.8564961
16940,Jeremy Irons,2,144.6303989
3084,Marlon Brando,2,144.5918375
6283,Michael Nyqvist,2,144.0576544
504,Tim Robbins,2,143.9752034
24045,Joseph Gordon-Levitt,2,143.7162736
6941,Cameron Diaz,1,143.4809352
1771,Giovanni Ribisi,2,143.473158
517,Pierce Brosnan,2,142.8976632
529,Guy Pearce,2,142.891793
205,Kirsten Dunst,1,142.4003525
585,Rutger Hauer,2,141.2218661
19292,Adam Sandler,2,141.031803
21088,Alan Tudyk,2,140.8641585
16927,Gérard Depardieu,2,140.7003635
515,Glenn Close,1,140.596263
9281,Elizabeth Banks,1,140.2490593
518,Danny DeVito,2,140.1895959
776,Eddie Murphy,2,140.0457738
2524,Tom Hardy,2,140.0081737
3129,Tim Roth,2,139.4628473
1016168,Lily James,1,139.3610224
12094,Jennifer Saunders,1,138.9806227
4764,John C. Reilly,2,138.8866118
2387,Patrick Stewart,2,138.6578517
18324,Steve Zahn,2,138.4463372
2053,Bill Paxton,2,138.1501962
2047,Danny Glover,2,138.0678096
110,Viggo Mortensen,2,137.0226968
207,Tom Wilkinson,2,136.3363678
12132,Michael Rooker,2,135.9099815
17605,Idris Elba,2,135.6957911
10989,Rupert Grint,2,135.6358751
22226,Paul Rudd,2,135.3033619
388,Jim Broadbent,2,135.0612754
5530,James McAvoy,2,134.8818743
5472,Colin Firth,2,134.5297212
1241,John Turturro,2,134.2364675
2440,Bill Nighy,2,134.0855725
70851,Jack Black,2,133.9704454
2372,Ron Perlman,2,133.9347174
1810,Heath Ledger,2,133.6245327
3293,Rachel Weisz,1,132.6899068
1813,Anne Hathaway,1,131.7489595
9273,Amy Adams,1,131.741439
3092,Diane Keaton,1,131.7361061
71580,Benedict Cumberbatch,2,131.6617139
2201,Max von Sydow,2,130.9427442
11108,Simon Pegg,2,130.8649924
18918,Dwayne Johnson,2,130.6301865
5658,Michael Gambon,2,130.3368681
53650,Anthony Mackie,2,129.927911
48,Sean Bean,2,129.7917487
41091,Kristen Wiig,1,129.6530297
6162,Paul Bettany,2,129.1077148
4512,James Woods,2,128.8266174
3085,James Caan,2,128.7070558
1062,Christopher Lloyd,2,128.1106317
19498,Jon Bernthal,2,127.7922096
10127,Jon Voight,2,127.5101638
4958,Henry Fonda,2,127.3124989
69597,Drew Barrymore,1,127.1276566
515510,Ryan Potter,2,127.0894897
543530,Dave Bautista,2,127.0422575
7624,Stan Lee,2,126.8691214
3063,Tilda Swinton,1,126.7249821
2983,Mark Strong,2,126.0897003
1920,Winona Ryder,1,125.784716
1160,Michelle Pfeiffer,1,125.7672812
6807,Sam Rockwell,2,125.6529556
8784,Daniel Craig,2,125.6371023
3905,William H. Macy,2,125.5214042
1205,Richard Gere,2,125.1968337
67773,Steve Martin,2,125.0565922
1003,Jean Reno,2,124.4805951
54415,Josh Gad,2,124.2478087
3810,Javier Bardem,2,124.1491853
1733,Nick Nolte,2,123.7861668
707,Dan Aykroyd,2,123.6614836
1331,Hugo Weaving,2,123.3381841
2037,Cillian Murphy,2,123.0801833
501,Dakota Fanning,1,122.9212844
3967,Kate Beckinsale,1,122.4564325
1925,Vincent Cassel,2,122.3965105
17276,Gerard Butler,2,122.366135
7132,Vincent D'Onofrio,2,121.9960803
8349,Martin Sheen,2,121.8886577
10978,Maggie Smith,1,121.5856326
5916,Rosario Dawson,1,121.3696814
23659,Will Ferrell,2,121.0859122
65,Ian Holm,2,120.6190552
53714,Rachel McAdams,1,120.5974495
4110,Humphrey Bogart,2,120.1045838
2296,Clive Owen,2,119.7528856
2,Mark Hamill,2,119.4123154
54882,Morena Baccarin,1,119.310667
1905,Vincent Price,2,118.9880577
4783,Sam Neill,2,118.6225113
21007,Jonah Hill,2,118.0294769
658,Alfred Molina,2,117.842161
6972,Ian McShane,2,116.9569721
368,Reese Witherspoon,1,116.5880837
1125,Ewen Bremner,2,116.363366
2295,Mickey Rourke,2,116.3098173
1038,Jodie Foster,1,116.2695877
2229,Catherine Keener,1,116.2439403
13784,Burt Lancaster,2,116.1333825
15152,James Earl Jones,0,116.0156477
8293,Marion Cotillard,1,115.6902107
521,Michael J. Fox,2,115.3685419
73421,Joaquin Phoenix,2,115.3549489
8447,Jeff Daniels,2,115.2971754
16851,Josh Brolin,2,115.2958024
1336,Jet Li,2,115.1312396
1121,Benicio del Toro,2,114.9703511
2130,Cary Elwes,2,114.9192982
83002,Jessica Chastain,1,114.6862994
41686,Neil Patrick Harris,2,114.6250924
8930,John Cleese,0,114.3249572
30614,Ryan Gosling,2,113.9669006
11477,Ray Liotta,2,113.4527142
17647,Michelle Rodriguez,1,113.1207244
35742,Shah Rukh Khan,2,112.9142649
44735,Jesse Eisenberg,2,112.8647842
1276,Patricia Clarkson,1,112.7496898
3051,Toni Collette,1,112.5608329
55638,Kevin Hart,2,112.3888782
32747,Stephen Lang,2,112.1216625
19274,Seth Rogen,2,111.7933249
9195,Hiroyuki Sanada,0,111.7784987
124747,Pierre Coffin,2,111.3801366
879,Billy Bob Thornton,2,110.9456299
1579,Maggie Gyllenhaal,1,110.8458684
2395,Whoopi Goldberg,1,110.3886762
1271,Andy García,2,110.0985344
2224,Christian Slater,2,110.07815
10017,Charlton Heston,2,110.0749702
10431,Jennifer Jason Leigh,1,109.6590722
2955,Chris Cooper,2,109.5608533
28633,Richard Jenkins,2,109.4599919
12074,John Lithgow,2,109.295553
3234,Joan Cusack,1,108.763875
20750,Judy Greer,1,108.4832914
82093,Daniel Henney,2,108.2658524
2638,Cary Grant,2,107.8875473
96066,Liam Hemsworth,2,107.7028389
8487,Gregory Peck,2,107.6892619
9191,Timothy Spall,2,107.5938125
5048,Harry Dean Stanton,2,107.483424
5657,Anjelica Huston,1,107.2602485
4491,Jennifer Aniston,1,107.2305315
1137,Juliette Binoche,1,107.0053112
589,Daryl Hannah,1,106.5299796
5309,Judi Dench,1,106.5129461
78324,Jamie Chung,1,106.2929039
996701,Miles Teller,2,106.1825235
20286,Toby Kebbell,2,105.7415114
10959,Shia LaBeouf,2,105.6555836
6161,Jennifer Connelly,1,105.4861066
2778,Dennis Hopper,2,104.8340762
52792,Maya Rudolph,1,104.8062816
7060,Martin Freeman,2,104.7757449
5294,Chiwetel Ejiofor,2,104.5109327
1903,Alan Arkin,2,104.3059042
6952,Charlie Sheen,2,104.2143304
17178,Patrick Wilson,2,104.0447144
350,Laura Linney,1,103.8210476
23532,Jason Bateman,2,103.7876825
3490,Adrien Brody,2,103.6758774
5081,Emily Blunt,1,103.4780193
3623,Elena Anaya,1,103.4441742
4756,Matthew Broderick,2,103.3623224
53,Peter Stormare,2,103.2042583
8534,Kathy Bates,1,103.1026881
19278,Bill Hader,2,102.6719894
1019,Mads Mikkelsen,2,102.6252481
588,M. Emmet Walsh,2,102.4379836
3037,Richard Dreyfuss,2,102.1642095
3141,Marisa Tomei,1,101.9779783
38673,Channing Tatum,2,101.9638049
3968,Michael Sheen,2,101.8776057
2882,Diane Lane,1,101.8503985
4785,Jeff Goldblum,2,101.6851987
21089,Bruce Greenwood,2,101.3392682
10814,Wesley Snipes,2,101.2556543
65827,Keith David,2,101.2389707
8289,Billy Crudup,2,100.6581787
335,Michael Shannon,2,100.0425286
13333,Vanessa Redgrave,1,99.58615402
8984,Bill Pullman,2,99.56394392
3872,Daniel Brühl,2,99.56159359
54693,Emma Stone,1,99.41935152
7036,Eric Stoltz,2,99.38382483
13014,Toby Jones,2,99.01615715
84223,Anna Kendrick,1,98.68667892
91606,Tom Hiddleston,2,98.64119923
3151,Jack Lemmon,2,98.59711009
1923,Robbie Coltrane,2,98.23920684
87722,Noomi Rapace,1,98.226807
955,Penélope Cruz,1,97.98023454
1047649,Ed Skrein,2,97.91253777
115150,Kaya Scodelario,1,97.81058329
18050,Elle Fanning,1,97.66032492
12898,Tim Allen,2,97.6099834
20212,Dermot Mulroney,2,97.41254595
15761,Grey Griffin,1,97.33525039
12077,Jim Cummings,2,96.94554035
11390,Peter O'Toole,2,96.86819081
2219,Tobey Maguire,2,96.26733435
543261,Karen Gillan,1,96.22777978
13922,Seth Green,2,96.20149405
2628,Kiefer Sutherland,2,95.85106663
237455,Sam Claflin,2,95.84197803
3136,Salma Hayek,1,95.56689908
18269,Brendan Fraser,2,95.48718102
8785,Ciarán Hinds,2,95.41641686
1639,Emily Watson,0,95.30613309
1328,Sean Astin,2,95.29397471
1893,Casey Affleck,2,95.24874475
2876,Matt Dillon,2,95.24452861
13022,Tom Berenger,2,95.2172751
72855,Felicity Jones,1,95.14646128
454,Michael Peña,2,94.96899939
10993,Tom Felton,2,94.6516092
938,Djimon Hounsou,2,94.64342674
6886,Christina Ricci,1,94.38312922
59450,Katy Mixon,1,94.36410733
5470,Kristin Scott Thomas,1,94.29139339
18354,Bridget Moynahan,1,94.17264362
2954,Jeffrey Wright,2,94.13432618
7499,Jared Leto,2,94.12642852
20089,Jena Malone,1,94.0350119
194,Richard Harris,2,93.96459902
12248,Alec Guinness,2,93.57073581
6944,Octavia Spencer,1,93.56172051
4960,Charles Bronson,2,93.52215273
3291,Hugh Grant,2,93.43620336
2090,Kirk Douglas,2,93.15809399
7450,Toshir Mifune,2,92.92970082
8783,Eric Bana,2,92.12333951
56890,Malcolm McDowell,2,92.08212241
35,Sally Field,1,92.07432613
3416,Demi Moore,1,91.63448348
530,Carrie-Anne Moss,1,91.59840988
2449,Kevin McNally,2,91.5940017
60898,Sebastian Stan,2,91.53285587
27105,Ed Helms,2,91.41784185
18686,Holly Hunter,1,91.14781579
3910,Frances McDormand,1,90.90127255
550843,Elizabeth Olsen,1,90.4887578
11181,Kenneth Branagh,2,90.46001653
6574,Clancy Brown,2,90.42700519
19492,Viola Davis,1,90.22503753
6450,Faye Dunaway,1,90.21210729
1665,Eddie Marsan,2,90.15383622
1216606,Gugu Mbatha-Raw,1,89.63152921
9778,Ice Cube,2,89.59567954
50,Catherine Deneuve,1,89.59528736
52,David Morse,2,89.5765765
2091,James Mason,2,89.47278301
15758,Queen Latifah,1,89.33462518
11064,David Strathairn,2,89.23271314
4391,Charles Dance,2,88.91869319
378,Jonathan Pryce,2,88.90549751
5,Peter Cushing,2,88.85573257
11355,Jason Isaacs,2,88.61176225
4937,Vince Vaughn,2,88.337238
23626,Liev Schreiber,2,88.30937125
1736,James Remar,2,88.02562385
56734,Chloë Grace Moretz,1,87.51510714
6837,Walter Matthau,2,87.48384116
9137,Renée Zellweger,1,86.99742365
12900,Wallace Shawn,2,86.93784855
78110,Scott Adkins,2,86.89127454
349,Scott Glenn,2,86.84794254
15111,Jean-Claude Van Damme,2,86.79316021
9221,Donald Pleasence,2,86.49946333
2632,Chris Rock,2,86.46201204
382,Bob Hoskins,2,86.40536721
882,Liv Tyler,1,86.30327294
71586,Alfie Allen,2,86.12177198
58225,Zach Galifianakis,2,85.98669305
80602,Tyler Perry,2,85.97042909
1370,Brad Dourif,2,85.93680739
2453,Mary Steenburgen,1,85.72778899
17141,Greg Kinnear,2,85.60287873
49,Maria Bello,1,85.51778414
73476,Michael Beattie,2,85.3272385
40462,Kristen Bell,1,85.27324455
11006,James Marsden,2,85.26135728
2714,Lance Henriksen,2,85.17243958
28782,Monica Bellucci,1,85.12868072
4090,Shirley MacLaine,1,84.93584966
9827,Rose Byrne,1,84.83879464
76512,Jason Clarke,2,84.65864809
87822,Damon Wayans Jr.,2,84.30202333
17401,Stephen Root,2,84.22282697
9777,Cuba Gooding Jr.,2,84.19405476
46593,Emile Hirsch,2,84.17580319
4,Carrie Fisher,1,84.16970829
7904,Billy Crystal,2,84.0803219
3196,Juliette Lewis,1,84.01150771
1341,Donnie Yen,2,84.00523448
3926,Albert Finney,0,83.88515742
11288,Robert Pattinson,2,83.72860254
9048,Clark Gregg,2,83.56739307
41292,Keri Russell,1,83.47013502
17419,Bryan Cranston,2,83.42438204
9824,Diane Kruger,1,83.13031334
108916,Rooney Mara,1,82.99269798
3380,Bette Davis,1,82.63554148
4587,Halle Berry,1,82.61542465
140,Lucy Liu,1,82.21312997
8252,William Holden,2,82.16195666
4784,Laura Dern,1,82.13913651
4517,Joe Pesci,2,82.003553
13726,Ned Beatty,2,81.98742715
5168,Gabriel Byrne,2,81.73884902
11160,Danny Trejo,2,81.56806635
4175,Jeffrey Tambor,2,81.56370091
9880,Sam Shepard,2,81.50552879
5344,Meg Ryan,1,81.2615934
11148,Joan Allen,1,81.11581654
17485,Oliver Platt,2,81.10930236
448,Hilary Swank,1,81.09694978
11357,Bruce Campbell,2,81.06380632
5563,James Coburn,2,81.00049507
516,Annette Bening,1,80.90806439
147,Michael Madsen,2,80.8356835
5419,Saïd Taghmaoui,0,80.78338915
17142,Paul Dano,2,80.74418255
1371,David Wenham,2,80.58812685
37625,Andrew Garfield,2,80.5397156
467645,Boyd Holbrook,2,80.53612201
1619,Chow Yun-fat,2,80.40136677
5724,Denis Leary,2,80.2972
133,Peter Sarsgaard,2,79.85007077
81685,Frank Grillo,2,79.71128112
6905,Bruce Dern,1,79.70432302
5401,Anthony Quinn,2,79.58171072
11155,Thomas Jane,2,79.5661309
13848,Charlie Chaplin,2,79.48106063
10823,Kris Kristofferson,2,79.40710104
5538,Ray Winstone,2,79.36663071
