actor_id,relative_position,name,gender,all_time_final_score,final_score,actor_id
2231,0.8291645882870173,Samuel L. Jackson,2,457.343116678874,0.01169377164802574,2231
31,0.8248423661668015,Tom Hanks,2,392.26903862409074,0.010029897455484316,31
18277,0.8229845193532647,Sandra Bullock,1,390.5348017356965,0.009985554883317205,18277
85,0.8475844057934944,Johnny Depp,2,390.5018982427826,0.009984713576389153,85
380,0.7753167434892279,Robert De Niro,2,387.9057361089489,0.009918332502645743,380
3895,0.6767969974148801,Michael Caine,2,374.40415142073664,0.009573111502323364,3895
6384,0.8160428722543713,Keanu Reeves,2,367.51023675538283,0.009396841518327457,6384
62,0.8288303072697322,Bruce Willis,2,365.42308237389335,0.009343475225403774,62
3223,0.8057379307892653,Robert Downey Jr.,2,349.86696782807974,0.008945722106147786,3223
65717,0.9228411902949891,Jon Hamm,2,346.2606963449038,0.008853513622654517,65717
192,0.8347158015717019,Morgan Freeman,2,339.4367479125887,0.008679032599992864,192
287,0.8179899612137805,Brad Pitt,2,327.70813154256837,0.008379144492844168,287
10990,0.9174174469213918,Emma Watson,1,321.442384249914,0.008218936073011355,10990
8691,0.9092464687947234,Zoe Saldana,1,317.705480820784,0.008123387471146961,8691
2232,0.7975311087660748,Michael Keaton,2,312.88762986042804,0.008000200203404209,2232
57755,0.8521202574534406,Woody Harrelson,2,312.27721564172236,0.007984592568296273,57755
3,0.7320934406204049,Harrison Ford,2,297.6883434969454,0.007611570797022839,3
118,0.8636052516956008,Geoffrey Rush,2,296.0345223741473,0.007569284369499628,118
3894,0.832637759229135,Christian Bale,2,289.02466121895003,0.007390049758452008,3894
64,0.8200707574424209,Gary Oldman,2,286.80295616789806,0.007333243149608892,64
3896,0.8405987303292854,Liam Neeson,2,283.18767645488947,0.007240804335366616,3896
1245,0.8851450853504247,Scarlett Johansson,1,283.05279410369536,0.007237355538704573,1245
3061,0.8745199325533928,Ewan McGregor,2,281.11231023116574,0.00718773945295954,3061
10205,0.8307577432834105,Sigourney Weaver,1,280.70263531564177,0.007177264505950718,10205
880,0.8389811029881433,Ben Affleck,2,278.7561190858803,0.00712749417931871,880
1892,0.8578862268831312,Matt Damon,2,274.1200484192464,0.007008954838192487,1892
5293,0.8321789730484767,Willem Dafoe,2,267.62486494317693,0.006842879981894788,5293
16828,0.9123074823213925,Chris Evans,2,265.0166456390928,0.006776190619274842,16828
1979,0.821782469754749,Kevin Spacey,2,264.23910808806977,0.006756309820290802,1979
18897,0.7156466559272856,Jackie Chan,2,260.98325261618265,0.006673061097354506,18897
8891,0.7735903608770562,John Travolta,2,258.61688685975696,0.00661255566984901,8891
500,0.7940773456086488,Tom Cruise,2,258.48447853335267,0.006609170131340173,500
1158,0.7577829748415934,Al Pacino,2,258.25717625524607,0.006603358256539133,1158
2963,0.828527297313294,Nicolas Cage,2,255.14435684603316,0.006523766811898594,2963
10859,0.8903311323444079,Ryan Reynolds,2,249.96079169794066,0.006391228625679382,10859
73457,0.9362964345715886,Chris Pratt,2,246.00757711460915,0.0062901491802319,73457
62064,0.9317763003594626,Chris Pine,2,245.23071910501733,0.0062702857563914464,62064
32,0.8449921237665755,Robin Wright,1,242.67724882854645,0.006204996267528233,32
1333,0.8704354609347847,Andy Serkis,2,238.92055080618528,0.006108941539202832,1333
2157,0.797465818600691,Robin Williams,2,237.00146097167897,0.006059872476002038,2157
16483,0.718722277038499,Sylvester Stallone,2,235.65876655158425,0.006025541223668593,16483
19,0.8769563834071217,Allison Janney,1,234.7095923134377,0.0060012718591799,19
1230,0.8302051399492075,John Goodman,2,228.9424972863916,0.005853813441507697,1230
4495,0.9005040134403585,Steve Carell,2,226.4630262073796,0.005790416032541753,4495
190,0.6043958703096279,Clint Eastwood,2,224.29321013437942,0.005734936169063897,190
2282,0.8541054765679824,Ben Kingsley,2,221.4481022666053,0.005662189820630032,2282
11207,0.8462860719020886,David Thewlis,2,220.98554276857467,0.005650362671720749,11207
12835,0.871850953062452,Vin Diesel,2,220.8091006002109,0.005645851235228799,12835
6193,0.8335559781594176,Leonardo DiCaprio,2,217.53107306065118,0.005562035596366857,6193
1327,0.7976981406372855,Ian McKellen,2,215.7158580790555,0.0055156225014437316,1327
51329,0.9211856760624728,Bradley Cooper,2,214.9718120501705,0.005496598044662609,51329
2283,0.8457166834990241,Stanley Tucci,2,212.48884156635899,0.005433111159679343,2283
8945,0.7896496287520047,Kevin Kline,2,212.26884331436625,0.005427486040970981,8945
4581,0.9056186717950722,Steve Coogan,2,212.20102259382682,0.005425751938083963,4581
4483,0.767005068853118,Dustin Hoffman,2,210.68483562674996,0.005386984667905152,4483
13240,0.8798256348564357,Mark Wahlberg,2,210.0337514451527,0.005370337145584212,13240
90633,0.9532048127344002,Gal Gadot,1,209.56372937449603,0.005358319186718437,90633
55636,0.7099890451716839,Donald Sutherland,2,208.73051537961936,0.005337014800941779,55636
1231,0.8407901475663282,Julianne Moore,1,206.7933584500048,0.005287483781549155,1231
5292,0.7970406062680193,Denzel Washington,2,205.84052994073738,0.005263120981277854,5292
514,0.6165016642159192,Jack Nicholson,2,205.4927248214891,0.005254227978422496,514
51990,0.9404842100137162,T.J. Miller,2,204.61550251536386,0.005231798347455543,51990
134,0.8731738109507482,Jamie Foxx,2,202.8538054299722,0.0051867536475830225,134
4173,0.7702103167195569,Anthony Hopkins,2,201.6828400349776,0.0051568133217369866,4173
1037,0.7442424105668455,Harvey Keitel,2,199.94445311263848,0.005112364637665018,1037
1229,0.7345831569593027,Jeff Bridges,2,199.48658547822384,0.005100657454662579,1229
6856,0.6983318343034602,Kurt Russell,2,198.5206183124795,0.0050759587130750124,6856
2461,0.7414650679100853,Mel Gibson,2,196.79193330745042,0.005031758096594822,2461
4690,0.7772799867255715,Christopher Walken,2,196.53455040386459,0.005025177092550211,4690
5469,0.8637632046256276,Ralph Fiennes,2,195.18929960422818,0.004990780476341123,5469
193,0.6307823904839993,Gene Hackman,2,195.14964252449158,0.004989766487461099,193
103,0.8809326168319571,Mark Ruffalo,2,193.4991852014369,0.0049475660686797585,103
65731,0.91559445700445,Sam Worthington,2,191.90192725638713,0.004906725900781217,65731
738,0.5731064303791271,Sean Connery,2,191.62685126561138,0.004899692503525027,738
72129,0.9450637202177244,Jennifer Lawrence,1,191.4914411367768,0.004896230212156306,72129
5064,0.8030255890998843,Meryl Streep,1,191.32573840456402,0.004891993371497106,5064
10980,0.9151379390319098,Daniel Radcliffe,2,190.48196184571643,0.004870418912319121,10980
3087,0.6890357816949193,Robert Duvall,2,190.08506475341957,0.004860270680508422,3087
17051,0.9209449426195949,James Franco,2,189.69355811720098,0.004850260276862529,17051
2227,0.8530017837512706,Nicole Kidman,1,188.8126111962924,0.0048277354115011705,2227
3036,0.8126329833442022,John Cusack,2,186.9739013810569,0.004780721578949175,3036
17604,0.905160433907867,Jeremy Renner,2,186.71334342305772,0.004774059392177797,17604
5723,0.860223652603301,John Leguizamo,2,185.67538937211944,0.004747520023353454,5723
1269,0.781831480647763,Kevin Costner,2,184.82117660957803,0.0047256787216705355,1269
2975,0.792956535225682,Laurence Fishburne,2,184.25994114778703,0.0047113285344880605,2975
884,0.8192562582746983,Steve Buscemi,2,183.80954254231872,0.00469981232652328,884
18999,0.896798864131326,J.K. Simmons,2,182.07997804141903,0.004655589222279527,18999
1233,0.8381404216900712,Philip Seymour Hoffman,2,181.87194150172687,0.004650269951690587,1233
569,0.8560543290901009,Ethan Hawke,2,177.68817925750716,0.004543295650494554,569
116,0.8867845117845119,Keira Knightley,1,177.12995030976856,0.004529022336643071,116
1283,0.8379308048604495,Helena Bonham Carter,1,176.48015406186002,0.004512407745401454,1283
7447,0.8406575394856057,Alec Baldwin,2,176.29087226854233,0.004507568013507687,7447
112,0.8779662695767125,Cate Blanchett,1,176.06366386176018,0.004501758538895464,112
1159982,0.9680208138883702,Ansel Elgort,2,175.80429048649464,0.004495126640630635,1159982
3131,0.836513716651018,Antonio Banderas,2,175.65189613205087,0.004491230080878617,3131
7056,0.8525750757608856,Emma Thompson,1,175.4204128254739,0.004485311301676039,7056
66580,0.9065589897212073,Scott Adsit,2,174.74492368489967,0.004468039770800146,66580
17288,0.9340477036376883,Michael Fassbender,2,174.43893358239558,0.00446021593295336,17288
819,0.8642403644173806,Edward Norton,2,174.254609460927,0.004455502963397093,819
139,0.819688718269202,Uma Thurman,1,173.70985130984832,0.004441574083329157,139
109,0.8533481057437251,Elijah Wood,2,173.63551272594756,0.004439673325685565,109
10182,0.848213797485778,Ving Rhames,2,172.97670332055904,0.004422828277700301,10182
4038,0.8054577107563448,Susan Sarandon,1,172.58548878846432,0.004412825342842715,4038
1532,0.7960711275533003,Bill Murray,2,171.32379360631774,0.004380565153913721,1532
6413,0.8812866988106133,Danny Huston,2,171.1758391963806,0.004376782118767838,6413
1100,0.7504704125443346,Arnold Schwarzenegger,2,170.91087338466076,0.004370007227917208,1100
5049,0.7686375579334448,John Hurt,2,170.86256704189913,0.004368772086683405,5049
1461,0.8528848712561413,George Clooney,2,170.455758996879,0.004358370442470216,1461
4135,0.7019749859996266,Robert Redford,2,169.71760353607775,0.0043394966011800346,4135
114,0.8923741414713586,Orlando Bloom,2,169.50988921722313,0.004334185569431378,114
7399,0.847641954212796,Ben Stiller,2,169.04187627023737,0.004322218981697178,7399
6968,0.900841458336325,Hugh Jackman,2,168.99517151568267,0.004321024791351415,6968
10297,0.8662331736253706,Matthew McConaughey,2,168.81832067848268,0.004316502905636818,10297
131,0.8806515844006736,Jake Gyllenhaal,2,168.58488119781825,0.004310534109166573,131
4165,0.22760671528638685,John Wayne,2,168.04985231475226,0.0042822998953159315,4165
228,0.8025312506832012,Ed Harris,2,167.44356582800938,0.00428135190257769,228
72466,0.8856900628461204,Colin Farrell,2,165.54532909187782,0.004232816030676062,72466
1243,0.7222792607802874,Woody Allen,2,165.51039594659815,0.004231922827719791,1243
2039,0.872723828190974,Brendan Gleeson,2,165.25318814164766,0.004225346300758977,2039
221018,0.9481200200426398,Dan Stevens,2,164.675289814626,0.004210570062032482,221018
3489,0.875862245215428,Naomi Watts,1,164.6150675944202,0.0042090302446272515,3489
1640,0.8108021381862174,Stellan Skarsgård,2,162.9372243106995,0.004166129596283659,1640
1248,0.838722479892911,Brian Cox,2,162.8660970004658,0.004164310947454195,1248
2176,0.779290739934135,Tommy Lee Jones,2,161.76190987567327,0.00413607807016115,2176
113,0.5784958469763397,Christopher Lee,2,160.84883646449302,0.0041127317649936835,113
2888,0.8546350124892221,Will Smith,2,160.24734661541,0.004097352316419361,2888
524,0.8739219712525668,Natalie Portman,1,160.2192394214396,0.004096633645697161,524
9642,0.8678712052476435,Jude Law,2,159.85863977253774,0.004087413500478321,9642
1204,0.819915012548483,Julia Roberts,1,159.68699062724613,0.004083024616431708,1204
976,0.8931714601820276,Jason Statham,2,158.99368143588782,0.004065297446021679,976
854,0.28335220791072946,James Stewart,2,157.78738030866066,0.004034453623503943,854
6065,0.7786908885471515,Dennis Quaid,2,157.556257236272,0.0040285440551021505,6065
2178,0.8291760507552927,Forest Whitaker,2,157.29674742386703,0.004021908668286403,2178
1896,0.8315129538206127,Don Cheadle,2,156.7852706847225,0.004008830758129434,1896
6949,0.8204177601598786,John Malkovich,2,155.30490147676048,0.00397097930953131,6949
6885,0.8591349969874537,Charlize Theron,1,155.23472788242432,0.003969185046191679,6885
2228,0.7947026735527762,Sean Penn,2,154.3977050034546,0.003947783271344991,2228
2505,0.8013591473550402,James Cromwell,2,154.2612345798331,0.00394429386937885,2505
114019,0.9474553889338283,Luke Evans,2,153.65543853482563,0.003928804316005802,114019
27972,0.9141648608214092,Josh Hutcherson,2,152.2359755597496,0.003892510174281522,27972
3392,0.771823673752073,Michael Douglas,2,151.6976449880756,0.0038787456405064875,3392
934,0.8510253840687213,Russell Crowe,2,151.65862270496712,0.0038777478826935584,934
10882,0.9161293873819539,Rosamund Pike,1,151.27911852616742,0.003868044368975931,10882
227,0.8102867056847007,William Hurt,2,151.0203738915375,0.0038614285469329855,227
206,0.7985331460690801,Jim Carrey,2,150.64913485289375,0.003851936363960478,206
290,0.727218569449918,Christopher Plummer,2,150.6384068312082,0.003851662059983331,290
204,0.8684553510015524,Kate Winslet,1,150.6244842064287,0.0038513060734406794,204
13242,0.879823647149109,Paul Giamatti,2,150.49651796672845,0.0038480341143116597,13242
6383,0.8723423735744065,Aaron Eckhart,2,148.97434620910857,0.0038091138194749517,6383
15735,0.7804546491610145,Helen Mirren,1,148.9130749990516,0.0038075471805273523,15735
74568,0.9506020160537613,Chris Hemsworth,2,148.18972679239874,0.0037890519448014245,74568
15831,0.8145594578264561,Frank Welker,2,148.14623879118153,0.00378794000337907,15831
37917,0.9049784017632284,Kristen Stewart,1,147.68488665514744,0.0037761437254175976,37917
5576,0.8462870120981005,Val Kilmer,2,147.61556890654626,0.003774371345133001,5576
4566,0.8212701968348788,Alan Rickman,2,147.5951031481366,0.0037738480577001756,4566
887,0.8783486513888734,Owen Wilson,2,147.54689081329028,0.003772615320147669,887
4724,0.7869358953514749,Kevin Bacon,2,147.50384896902295,0.003771514786478709,4724
11701,0.8377146723912636,Angelina Jolie,1,147.32693079474168,0.0037669911790273623,11701
3636,0.5475983063252057,Paul Newman,2,146.6140957783869,0.00374876475427104,3636
12052,0.8256133294867662,Gwyneth Paltrow,1,144.86330219672647,0.0037039988452628545,12052
935,0.8734332915544415,Connie Nielsen,1,144.85649613815875,0.0037038248216647914,935
16940,0.8101453645601487,Jeremy Irons,2,144.63039886321124,0.00369804375749862,16940
3084,0.48583755515134136,Marlon Brando,2,144.59183754250762,0.003697057785998648,3084
6283,0.8916534440918424,Michael Nyqvist,2,144.05765444034867,0.0036833992985587523,6283
504,0.7871303063808198,Tim Robbins,2,143.97520342792083,0.0036812911148421563,504
24045,0.8758617188856029,Joseph Gordon-Levitt,2,143.71627361467282,0.0036746705579810924,24045
6941,0.8519417307918337,Cameron Diaz,1,143.48093524624608,0.0036686532089929094,6941
1771,0.8568519315104443,Giovanni Ribisi,2,143.47315798933911,0.003668454352897777,1771
517,0.8296129108897451,Pierce Brosnan,2,142.8976631975653,0.0036537395699827056,517
529,0.8891147666376794,Guy Pearce,2,142.89179298401785,0.0036535894749353645,529
205,0.8377920201328826,Kirsten Dunst,1,142.40035254912715,0.00364102387153031,205
585,0.7798492779838762,Rutger Hauer,2,141.22186612233884,0.003610891240989734,585
19292,0.8644326969286558,Adam Sandler,2,141.03180304261485,0.003606031532442784,19292
21088,0.9061584092384913,Alan Tudyk,2,140.8641585455299,0.0036017450429440584,21088
16927,0.7510919149485169,Gérard Depardieu,2,140.7003635235353,0.003597556980383506,16927
515,0.7976068460358106,Glenn Close,1,140.59626298632554,0.003594895241601021,515
9281,0.9055110068635649,Elizabeth Banks,1,140.24905925795758,0.003586017615663711,9281
518,0.7676349800700569,Danny DeVito,2,140.18959587050034,0.003584497200795783,518
776,0.7834174802800938,Eddie Murphy,2,140.04577378128167,0.003580819824646605,776
2524,0.8979395006089052,Tom Hardy,2,140.0081736851023,0.003579858430623976,2524
3129,0.8327064277269616,Tim Roth,2,139.46284733114726,0.0035659150222195637,3129
1016168,0.9648629519009396,Lily James,1,139.36102244298277,0.0035633114693358384,1016168
12094,0.882683785147851,Jennifer Saunders,1,138.9806227343632,0.0035535850578838086,12094
4764,0.8541536416279744,John C. Reilly,2,138.88661181190858,0.0035511812996998258,4764
2387,0.8209957203797038,Patrick Stewart,2,138.65785174192268,0.003545332150728202,2387
18324,0.8492666187410385,Steve Zahn,2,138.4463372417237,0.0035399239524294395,18324
2053,0.7766336669166168,Bill Paxton,2,138.1501962365072,0.0035323519454081758,2053
2047,0.851055677274201,Danny Glover,2,138.0678096356985,0.003530245408627413,2047
110,0.8020585975315931,Viggo Mortensen,2,137.02269679553822,0.0035035229972615167,110
207,0.8646212655223041,Tom Wilkinson,2,136.3363677853013,0.0034859743025759875,207
12132,0.8110359365680645,Michael Rooker,2,135.9099815090793,0.0034750720640461925,12132
17605,0.9290629449465054,Idris Elba,2,135.69579106047155,0.003469595444624443,17605
10989,0.8965381560501744,Rupert Grint,2,135.63587505767504,0.003468063456869051,10989
22226,0.8834787376300685,Paul Rudd,2,135.30336190421013,0.00345956145313317,22226
388,0.8333680351134148,Jim Broadbent,2,135.06127544561943,0.003453371562736662,388
5530,0.9034013129239,James McAvoy,2,134.8818743061302,0.0034487844685352318,5530
5472,0.8453503204529901,Colin Firth,2,134.52972121279075,0.00343978029265835,5472
1241,0.8006623386500182,John Turturro,2,134.23646754567451,0.0034322821117671494,1241
2440,0.8720789202830473,Bill Nighy,2,134.0855725237623,0.003428423888335519,2440
70851,0.8524666112308453,Jack Black,2,133.9704454183168,0.0034254802120616675,70851
